timestamp_utc,run_id,source_run_id,experiment,run_name,evaluation,dataset,backbone,method,seed,epochs,latency_p50_ms,latency_p95_ms,peak_memory_mb,images,srcc,plcc,srcc_per_reference,images_per_second,milliseconds_per_image,head_size_mb,model_parameter_size_mb,config_path
2026-09-01T07:02:42.388445+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,tid2013,clip-large,interaction,,5,20.111,20.77,1208.9,3000,0.6395168206647548,0.6348809599876404,,48.5855946356437,20.582232398291428,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:02:42.388470+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,csiq,clip-large,interaction,,5,20.111,20.77,1208.9,866,0.8333133398315833,0.8113455176353455,,46.447751996832444,21.529567245110076,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:02:42.388480+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,cid2013,clip-large,interaction,,5,20.111,20.77,1208.9,474,0.257366012510335,0.3309192657470703,,37.8055676513899,26.451130405477077,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:02:42.388487+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,koniq10k,clip-large,interaction,,5,20.111,20.77,1208.9,10073,0.5377288958397951,0.5263490676879883,,45.95572364105387,21.760075149957267,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:02:42.388494+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,clive,clip-large,interaction,,5,20.111,20.77,1208.9,1162,0.520045428120857,0.5238352417945862,,44.26063601170633,22.593439455671483,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:02:42.388501+00:00,78607fe8ed3641a1a88467449a6f50ee,72de40e3d357458fb2d3fc9fa2753ab4,conditioned-iqa-text-large,tc-large-interaction-s0,held_out_test,uhdiqa,clip-large,interaction,,5,20.111,20.77,1208.9,6073,0.17308325707625763,0.1760757565498352,,12.828050276693434,77.95416906159497,2.5234413146972656,1160.3125038146973,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:08:00.488392+00:00,72de40e3d357458fb2d3fc9fa2753ab4,,conditioned-iqa-text-large,tc-large-interaction-s0,validation,kadid10k,clip-large,interaction,0,5,20.111,20.77,1208.9,,0.8895594012965627,0.883687436580658,,,,,,mlflow:72de40e3d357458fb2d3fc9fa2753ab4
2026-09-01T07:08:00.488420+00:00,a02db99661a74f4c82f2916c9874f156,,conditioned-iqa-text-large,tc-large-baseline-s0,validation,kadid10k,clip-large,baseline,0,5,20.51,21.259,1206.4,,0.8468708696685003,0.8190221190452576,,,,,,mlflow:a02db99661a74f4c82f2916c9874f156
2026-09-01T07:08:00.488426+00:00,2d6d1d979a8944a28ebae5b0158c3965,,conditioned-iqa-text,tc-interaction-heldout-s2,validation,kadid10k,clip-base,interaction,2,5,3.234,3.291,349.9,,0.7864771044157474,0.7975515127182007,,,,,,mlflow:2d6d1d979a8944a28ebae5b0158c3965
2026-09-01T07:08:00.488431+00:00,6ef54c1482094828989345dadbe7f930,,conditioned-iqa-text,tc-interaction-heldout-s1,validation,kadid10k,clip-base,interaction,1,5,3.062,3.088,349.9,,0.7919508357991415,0.8058968782424927,,,,,,mlflow:6ef54c1482094828989345dadbe7f930
2026-09-01T07:08:00.488436+00:00,430cbe899ab5475db7124114f35c6d54,,conditioned-iqa-text,tc-interaction-heldout-s0,validation,kadid10k,clip-base,interaction,0,5,3.258,3.718,349.9,,0.7796725219951434,0.7674711346626282,,,,,,mlflow:430cbe899ab5475db7124114f35c6d54
2026-09-01T07:08:00.488441+00:00,92c4fe75f79c4b7db7749a546407070d,,conditioned-iqa-text,tc-residual-s2,validation,kadid10k,clip-base,residual,2,5,3.078,3.589,351.4,,0.8012950273719324,0.7878907322883606,,,,,,mlflow:92c4fe75f79c4b7db7749a546407070d
2026-09-01T07:08:00.488446+00:00,1714911e0de64373837446f7960a447c,,conditioned-iqa-text,tc-residual-s1,validation,kadid10k,clip-base,residual,1,5,3.434,3.934,351.4,,0.7786470132132217,0.7353637218475342,,,,,,mlflow:1714911e0de64373837446f7960a447c
2026-09-01T07:08:00.488450+00:00,893a8a390be94a2f8b99463691146e2d,,conditioned-iqa-text,tc-residual-s0,validation,kadid10k,clip-base,residual,0,5,3.413,4.11,351.4,,0.7459897168671963,0.7047699093818665,,,,,,mlflow:893a8a390be94a2f8b99463691146e2d
2026-09-01T07:08:00.488455+00:00,2af12fe44e0b42fda9c8db4609ef0688,,conditioned-iqa-text,tc-concat-s2,validation,kadid10k,clip-base,concat,2,5,3.234,3.631,349.4,,0.7915863710654998,0.8013583421707153,,,,,,mlflow:2af12fe44e0b42fda9c8db4609ef0688
2026-09-01T07:08:00.488459+00:00,f219de67e6a7451283d7e045d67e7125,,conditioned-iqa-text,tc-interaction-s2,validation,kadid10k,clip-base,interaction,2,5,3.271,3.382,349.9,,0.7865598437832196,0.7975802421569824,,,,,,mlflow:f219de67e6a7451283d7e045d67e7125
2026-09-01T07:08:00.488464+00:00,c278c4e6de074882bf65f31ba68ebbb2,,conditioned-iqa-text,tc-baseline-s2,validation,kadid10k,clip-base,baseline,2,5,3.013,3.29,347.9,,0.775701824718756,0.7596918940544128,,,,,,mlflow:c278c4e6de074882bf65f31ba68ebbb2
